,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,left_gpt_is_singular_score,left_gpt_is_plural_score
132,5.0,17.0,1.0,P,S,S,S_P-S,Налоги на доход был повышен из-за смены политического курса.,Налоги на доход,был повышен из-за смены политического курса.,-1.9711641,-1.0362858
133,6.0,17.0,1.0,P,S,P,P_P-S,Налоги на доход были повышены из-за смены политического курса.,Налоги на доход,были повышены из-за смены политического курса.,-1.9711641,-1.0362858
134,7.0,17.0,1.0,P,P,S,S_P-P,Налоги на доходы был повышен из-за смены политического курса.,Налоги на доходы,был повышен из-за смены политического курса.,-2.3816323,-0.7768019
135,8.0,17.0,1.0,P,P,P,P_P-P,Налоги на доходы были повышены из-за смены политического курса.,Налоги на доходы,были повышены из-за смены политического курса.,-2.3816323,-0.7768019
136,1.0,18.0,1.0,S,S,P,P_S-S,Нападение на банк были совершены с применением холодного оружия. ,Нападение на банк,были совершены с применением холодного оружия.,3.360503,-3.947284
137,2.0,18.0,1.0,S,P,S,S_S-P,Нападение на банки было совершено с применением холодного оружия. ,Нападение на банки,было совершено с применением холодного оружия.,2.2046914,-2.223175
138,3.0,18.0,1.0,S,P,P,P_S-P,Нападение на банки были совершены с применением холодного оружия. ,Нападение на банки,были совершены с применением холодного оружия.,2.2046914,-2.223175
139,4.0,18.0,1.0,P,S,S,S_P-S,Нападения на банк было совершено с применением холодного оружия. ,Нападения на банк,было совершено с применением холодного оружия.,1.5315878,1.2813916
140,5.0,18.0,1.0,P,S,P,P_P-S,Нападения на банк были совершены с применением холодного оружия. ,Нападения на банк,были совершены с применением холодного оружия.,1.5315878,1.2813916
141,6.0,18.0,1.0,P,P,S,S_P-P,Нападения на банки было совершено с применением холодного оружия. ,Нападения на банки,было совершено с применением холодного оружия.,-0.83763117,1.6443874
142,7.0,18.0,1.0,P,P,P,P_P-P,Нападения на банки были совершены с применением холодного оружия. ,Нападения на банки,были совершены с применением холодного оружия.,-0.83763117,1.6443874
143,8.0,18.0,1.0,S,S,S,S_S-S,Нападение на банк было совершено с применением холодного оружия. ,Нападение на банк,было совершено с применением холодного оружия.,3.360503,-3.947284
144,1.0,19.0,1.0,S,P,S,S_S-P,Окно в сады было закрыто из-за сильного холодного ветра.,Окно в сады,было закрыто из-за сильного холодного ветра.,1.373351,-1.73002
145,2.0,19.0,1.0,S,P,P,P_S-P,Окно в сады были закрыты из-за сильного холодного ветра.,Окно в сады,были закрыты из-за сильного холодного ветра.,1.373351,-1.73002
146,3.0,19.0,1.0,P,S,S,S_P-S,Окна в сад было закрыто из-за сильного холодного ветра.,Окна в сад,было закрыто из-за сильного холодного ветра.,-0.27164543,3.3173416
147,4.0,19.0,1.0,P,S,P,P_P-S,Окна в сад были закрыты из-за сильного холодного ветра.,Окна в сад,были закрыты из-за сильного холодного ветра.,-0.27164543,3.3173416
148,5.0,19.0,1.0,P,P,S,S_P-P,Окна в сады было закрыто из-за сильного холодного ветра.,Окна в сады,было закрыто из-за сильного холодного ветра.,-1.1984255,1.9037008
149,6.0,19.0,1.0,P,P,P,P_P-P,Окна в сады были закрыты из-за сильного холодного ветра.,Окна в сады,были закрыты из-за сильного холодного ветра.,-1.1984255,1.9037008
150,7.0,19.0,1.0,S,S,S,S_S-S,Окно в сад было закрыто из-за сильного холодного ветра.,Окно в сад,было закрыто из-за сильного холодного ветра.,3.6974244,-3.1106348
151,8.0,19.0,1.0,S,S,P,P_S-S,Окно в сад были закрыты из-за сильного холодного ветра.,Окно в сад,были закрыты из-за сильного холодного ветра.,3.6974244,-3.1106348
152,1.0,20.0,1.0,S,P,P,P_S-P,Ответ на вопросы были неверными из-за недостаточного знания материала.,Ответ на вопросы,были неверными из-за недостаточного знания материала.,1.6888344,-3.487766
153,2.0,20.0,1.0,P,S,S,S_P-S,Ответы на вопрос был неверным из-за недостаточного знания материала.,Ответы на вопрос,был неверным из-за недостаточного знания материала.,-1.7021163,-0.4209761
154,3.0,20.0,1.0,P,S,P,P_P-S,Ответы на вопрос были неверными из-за недостаточного знания материала.,Ответы на вопрос,были неверными из-за недостаточного знания материала.,-1.7021163,-0.4209761
155,4.0,20.0,1.0,P,P,S,S_P-P,Ответы на вопросы был неверным из-за недостаточного знания материала.,Ответы на вопросы,был неверным из-за недостаточного знания материала.,-0.7054851,-0.15641667
156,5.0,20.0,1.0,P,P,P,P_P-P,Ответы на вопросы были неверными из-за недостаточного знания материала.,Ответы на вопросы,были неверными из-за недостаточного знания материала.,-0.7054851,-0.15641667
157,6.0,20.0,1.0,S,S,S,S_S-S,Ответ на вопрос был неверным из-за недостаточного знания материала.,Ответ на вопрос,был неверным из-за недостаточного знания материала.,1.0993669,-5.448855
158,7.0,20.0,1.0,S,S,P,P_S-S,Ответ на вопрос были неверными из-за недостаточного знания материала.,Ответ на вопрос,были неверными из-за недостаточного знания материала.,1.0993669,-5.448855
159,8.0,20.0,1.0,S,P,S,S_S-P,Ответ на вопросы был неверным из-за недостаточного знания материала.,Ответ на вопросы,был неверным из-за недостаточного знания материала.,1.6888344,-3.487766
160,1.0,21.0,1.0,P,S,S,S_P-S,Очереди в театр была бесконечной из-за большого наплыва туристов.,Очереди в театр,была бесконечной из-за большого наплыва туристов.,-0.04778145,2.2436588
161,2.0,21.0,1.0,P,S,P,P_P-S,Очереди в театр были бесконечными из-за большого наплыва туристов.,Очереди в театр,были бесконечными из-за большого наплыва туристов.,-0.04778145,2.2436588
162,3.0,21.0,1.0,P,P,S,S_P-P,Очереди в театры была бесконечной из-за большого наплыва туристов.,Очереди в театры,была бесконечной из-за большого наплыва туристов.,-0.26766098,3.3900537
163,4.0,21.0,1.0,P,P,P,P_P-P,Очереди в театры были бесконечными из-за большого наплыва туристов.,Очереди в театры,были бесконечными из-за большого наплыва туристов.,-0.26766098,3.3900537
164,5.0,21.0,1.0,S,S,S,S_S-S,Очередь в театр была бесконечной из-за большого наплыва туристов.,Очередь в театр,была бесконечной из-за большого наплыва туристов.,2.5472252,-3.0759678
165,6.0,21.0,1.0,S,S,P,P_S-S,Очередь в театр были бесконечными из-за большого наплыва туристов.,Очередь в театр,были бесконечными из-за большого наплыва туристов.,2.5472252,-3.0759678
166,7.0,21.0,1.0,S,P,S,S_S-P,Очередь в театры была бесконечной из-за большого наплыва туристов.,Очередь в театры,была бесконечной из-за большого наплыва туристов.,3.657292,-1.0375133
167,8.0,21.0,1.0,S,P,P,P_S-P,Очередь в театры были бесконечными из-за большого наплыва туристов.,Очередь в театры,были бесконечными из-за большого наплыва туристов.,3.657292,-1.0375133
168,1.0,22.0,1.0,P,S,P,P_P-S,Переправы через ручей были опасными из-за тяжёлых погодных условий.,Переправы через ручей,были опасными из-за тяжёлых погодных условий.,2.0463557,3.1655831
169,2.0,22.0,1.0,P,P,S,S_P-P,Переправы через ручьи была опасной из-за тяжёлых погодных условий.,Переправы через ручьи,была опасной из-за тяжёлых погодных условий.,-0.56895804,3.2069082
170,3.0,22.0,1.0,P,P,P,P_P-P,Переправы через ручьи были опасными из-за тяжёлых погодных условий.,Переправы через ручьи,были опасными из-за тяжёлых погодных условий.,-0.56895804,3.2069082
171,4.0,22.0,1.0,S,S,S,S_S-S,Переправа через ручей была опасной из-за тяжёлых погодных условий.,Переправа через ручей,была опасной из-за тяжёлых погодных условий.,3.0878372,-1.9455932
172,5.0,22.0,1.0,S,S,P,P_S-S,Переправа через ручей были опасными из-за тяжёлых погодных условий.,Переправа через ручей,были опасными из-за тяжёлых погодных условий.,3.0878372,-1.9455932
173,6.0,22.0,1.0,S,P,S,S_S-P,Переправа через ручьи была опасной из-за тяжёлых погодных условий.,Переправа через ручьи,была опасной из-за тяжёлых погодных условий.,3.0604978,-1.6261305
174,7.0,22.0,1.0,S,P,P,P_S-P,Переправа через ручьи были опасными из-за тяжёлых погодных условий.,Переправа через ручьи,были опасными из-за тяжёлых погодных условий.,3.0604978,-1.6261305
175,8.0,22.0,1.0,P,S,S,S_P-S,Переправы через ручей была опасной из-за тяжёлых погодных условий.,Переправы через ручей,была опасной из-за тяжёлых погодных условий.,2.0463557,3.1655831
176,1.0,23.0,1.0,P,P,S,S_P-P,Песни про поезда была грустной для большинства отставных машинистов.,Песни про поезда,была грустной для большинства отставных машинистов.,-0.4348666,1.7001212
177,2.0,23.0,1.0,P,P,P,P_P-P,Песни про поезда были грустными для большинства отставных машинистов.,Песни про поезда,были грустными для большинства отставных машинистов.,-0.4348666,1.7001212
178,3.0,23.0,1.0,S,S,S,S_S-S,Песня про поезд была грустной для большинства отставных машинистов.,Песня про поезд,была грустной для большинства отставных машинистов.,0.32725143,-4.241166
179,4.0,23.0,1.0,S,S,P,P_S-S,Песня про поезд были грустными для большинства отставных машинистов.,Песня про поезд,были грустными для большинства отставных машинистов.,0.32725143,-4.241166
180,5.0,23.0,1.0,S,P,S,S_S-P,Песня про поезда была грустной для большинства отставных машинистов.,Песня про поезда,была грустной для большинства отставных машинистов.,2.1160567,-2.2180648
181,6.0,23.0,1.0,S,P,P,P_S-P,Песня про поезда были грустными для большинства отставных машинистов.,Песня про поезда,были грустными для большинства отставных машинистов.,2.1160567,-2.2180648
182,7.0,23.0,1.0,P,S,S,S_P-S,Песни про поезд была грустной для большинства отставных машинистов.,Песни про поезд,была грустной для большинства отставных машинистов.,-0.8541035,0.627687
183,8.0,23.0,1.0,P,S,P,P_P-S,Песни про поезд были грустными для большинства отставных машинистов.,Песни про поезд,были грустными для большинства отставных машинистов.,-0.8541035,0.627687
184,1.0,24.0,1.0,P,P,P,P_P-P,Письма про походы были отправлены из маленького сибирского посёлка.,Письма про походы,были отправлены из маленького сибирского посёлка.,-1.3704007,1.5144979
185,2.0,24.0,1.0,S,S,S,S_S-S,Письмо про поход было отправлено из маленького сибирского посёлка.,Письмо про поход,было отправлено из маленького сибирского посёлка.,1.8969549,-2.166783
186,3.0,24.0,1.0,S,S,P,P_S-S,Письмо про поход были отправлены из маленького сибирского посёлка.,Письмо про поход,были отправлены из маленького сибирского посёлка.,1.8969549,-2.166783
187,4.0,24.0,1.0,S,P,S,S_S-P,Письмо про походы было отправлено из маленького сибирского посёлка.,Письмо про походы,было отправлено из маленького сибирского посёлка.,1.5898154,-0.5715727
188,5.0,24.0,1.0,S,P,P,P_S-P,Письмо про походы были отправлены из маленького сибирского посёлка.,Письмо про походы,были отправлены из маленького сибирского посёлка.,1.5898154,-0.5715727
189,6.0,24.0,1.0,P,S,S,S_P-S,Письма про поход было отправлено из маленького сибирского посёлка.,Письма про поход,было отправлено из маленького сибирского посёлка.,-0.5965576,1.3843117
190,7.0,24.0,1.0,P,S,P,P_P-S,Письма про поход были отправлены из маленького сибирского посёлка.,Письма про поход,были отправлены из маленького сибирского посёлка.,-0.5965576,1.3843117
191,8.0,24.0,1.0,P,P,S,S_P-P,Письма про походы было отправлено из маленького сибирского посёлка.,Письма про походы,было отправлено из маленького сибирского посёлка.,-1.3704007,1.5144979
192,1.0,25.0,1.0,S,S,S,S_S-S,План на выходной был разрушен из-за визита назойливых родственников.,План на выходной,был разрушен из-за визита назойливых родственников.,2.4165015,-1.7628789
193,2.0,25.0,1.0,S,S,P,P_S-S,План на выходной были разрушены из-за визита назойливых родственников.,План на выходной,были разрушены из-за визита назойливых родственников.,2.4165015,-1.7628789
194,3.0,25.0,1.0,S,P,S,S_S-P,План на выходные был разрушен из-за визита назойливых родственников.,План на выходные,был разрушен из-за визита назойливых родственников.,3.026158,-2.1125839
195,4.0,25.0,1.0,S,P,P,P_S-P,План на выходные были разрушены из-за визита назойливых родственников.,План на выходные,были разрушены из-за визита назойливых родственников.,3.026158,-2.1125839
196,5.0,25.0,1.0,P,S,S,S_P-S,Планы на выходной был разрушен из-за визита назойливых родственников.,Планы на выходной,был разрушен из-за визита назойливых родственников.,-0.794387,2.986117
197,6.0,25.0,1.0,P,S,P,P_P-S,Планы на выходной были разрушены из-за визита назойливых родственников.,Планы на выходной,были разрушены из-за визита назойливых родственников.,-0.794387,2.986117
198,7.0,25.0,1.0,P,P,S,S_P-P,Планы на выходные был разрушен из-за визита назойливых родственников.,Планы на выходные,был разрушен из-за визита назойливых родственников.,-1.7053692,2.4037542
199,8.0,25.0,1.0,P,P,P,P_P-P,Планы на выходные были разрушены из-за визита назойливых родственников.,Планы на выходные,были разрушены из-за визита назойливых родственников.,-1.7053692,2.4037542
200,1.0,26.0,1.0,S,S,P,P_S-S,Поездка на остров были незабываемыми для молодых влюблённых студентов.,Поездка на остров,были незабываемыми для молодых влюблённых студентов.,0.16522223,-6.355075
201,2.0,26.0,1.0,S,P,S,S_S-P,Поездка на острова была незабываемой для молодых влюблённых студентов.,Поездка на острова,была незабываемой для молодых влюблённых студентов.,0.77798676,-6.0293202
202,3.0,26.0,1.0,S,P,P,P_S-P,Поездка на острова были незабываемыми для молодых влюблённых студентов.,Поездка на острова,были незабываемыми для молодых влюблённых студентов.,0.77798676,-6.0293202
203,4.0,26.0,1.0,P,S,S,S_P-S,Поездки на остров была незабываемой для молодых влюблённых студентов.,Поездки на остров,была незабываемой для молодых влюблённых студентов.,-2.432278,-1.0762674
204,5.0,26.0,1.0,P,S,P,P_P-S,Поездки на остров были незабываемыми для молодых влюблённых студентов.,Поездки на остров,были незабываемыми для молодых влюблённых студентов.,-2.432278,-1.0762674
205,6.0,26.0,1.0,P,P,S,S_P-P,Поездки на острова была незабываемой для молодых влюблённых студентов.,Поездки на острова,была незабываемой для молодых влюблённых студентов.,-1.4626364,1.231015
206,7.0,26.0,1.0,P,P,P,P_P-P,Поездки на острова были незабываемыми для молодых влюблённых студентов.,Поездки на острова,были незабываемыми для молодых влюблённых студентов.,-1.4626364,1.231015
207,8.0,26.0,1.0,S,S,S,S_S-S,Поездка на остров была незабываемой для молодых влюблённых студентов.,Поездка на остров,была незабываемой для молодых влюблённых студентов.,0.16522223,-6.355075
208,1.0,27.0,1.0,S,P,S,S_S-P,Полет через проливы был запрещён из-за усилившегося северного ветра.,Полет через проливы,был запрещён из-за усилившегося северного ветра.,1.8338835,-1.9382464
209,2.0,27.0,1.0,S,P,P,P_S-P,Полет через проливы были запрещены из-за усилившегося северного ветра.,Полет через проливы,были запрещены из-за усилившегося северного ветра.,1.8338835,-1.9382464
210,3.0,27.0,1.0,P,S,S,S_P-S,Полеты через пролив был запрещён из-за усилившегося северного ветра.,Полеты через пролив,был запрещён из-за усилившегося северного ветра.,-2.6659954,1.9320996
211,4.0,27.0,1.0,P,S,P,P_P-S,Полеты через пролив были запрещены из-за усилившегося северного ветра.,Полеты через пролив,были запрещены из-за усилившегося северного ветра.,-2.6659954,1.9320996
212,5.0,27.0,1.0,P,P,S,S_P-P,Полеты через проливы был запрещён из-за усилившегося северного ветра.,Полеты через проливы,был запрещён из-за усилившегося северного ветра.,-1.93218,2.743235
213,6.0,27.0,1.0,P,P,P,P_P-P,Полеты через проливы были запрещены из-за усилившегося северного ветра.,Полеты через проливы,были запрещены из-за усилившегося северного ветра.,-1.93218,2.743235
214,7.0,27.0,1.0,S,S,S,S_S-S,Полет через пролив был запрещён из-за усилившегося северного ветра.,Полет через пролив,был запрещён из-за усилившегося северного ветра.,0.5456621,-2.4334335
215,8.0,27.0,1.0,S,S,P,P_S-S,Полет через пролив были запрещены из-за усилившегося северного ветра.,Полет через пролив,были запрещены из-за усилившегося северного ветра.,0.5456621,-2.4334335
216,1.0,28.0,1.0,S,P,P,P_S-P,Прогулка через парки были приятными для ценителей ландшафтного дизайна.,Прогулка через парки,были приятными для ценителей ландшафтного дизайна.,0.92776525,-3.4423454
217,2.0,28.0,1.0,P,S,S,S_P-S,Прогулки через парк была приятной для ценителей ландшафтного дизайна.,Прогулки через парк,была приятной для ценителей ландшафтного дизайна.,-1.2914716,1.0384482
218,3.0,28.0,1.0,P,S,P,P_P-S,Прогулки через парк были приятными для ценителей ландшафтного дизайна.,Прогулки через парк,были приятными для ценителей ландшафтного дизайна.,-1.2914716,1.0384482
219,4.0,28.0,1.0,P,P,S,S_P-P,Прогулки через парки была приятной для ценителей ландшафтного дизайна.,Прогулки через парки,была приятной для ценителей ландшафтного дизайна.,-2.047659,1.0342877
220,5.0,28.0,1.0,P,P,P,P_P-P,Прогулки через парки были приятными для ценителей ландшафтного дизайна.,Прогулки через парки,были приятными для ценителей ландшафтного дизайна.,-2.047659,1.0342877
221,6.0,28.0,1.0,S,S,S,S_S-S,Прогулка через парк была приятной для ценителей ландшафтного дизайна.,Прогулка через парк,была приятной для ценителей ландшафтного дизайна.,1.7759751,-4.5547895
222,7.0,28.0,1.0,S,S,P,P_S-S,Прогулка через парк были приятными для ценителей ландшафтного дизайна.,Прогулка через парк,были приятными для ценителей ландшафтного дизайна.,1.7759751,-4.5547895
223,8.0,28.0,1.0,S,P,S,S_S-P,Прогулка через парки была приятной для ценителей ландшафтного дизайна.,Прогулка через парки,была приятной для ценителей ландшафтного дизайна.,0.92776525,-3.4423454
224,1.0,29.0,1.0,P,S,S,S_P-S,Прыжки через костер был рискованным для обладателей коротких ног.,Прыжки через костер,был рискованным для обладателей коротких ног.,0.3320347,3.5498939
225,2.0,29.0,1.0,P,S,P,P_P-S,Прыжки через костер были рискованными для обладателей коротких ног.,Прыжки через костер,были рискованными для обладателей коротких ног.,0.3320347,3.5498939
226,3.0,29.0,1.0,P,P,S,S_P-P,Прыжки через костры был рискованным для обладателей коротких ног.,Прыжки через костры,был рискованным для обладателей коротких ног.,0.915243,4.115401
227,4.0,29.0,1.0,P,P,P,P_P-P,Прыжки через костры были рискованными для обладателей коротких ног.,Прыжки через костры,были рискованными для обладателей коротких ног.,0.915243,4.115401
228,5.0,29.0,1.0,S,S,S,S_S-S,Прыжок через костер был рискованным для обладателей коротких ног.,Прыжок через костер,был рискованным для обладателей коротких ног.,2.3045175,-1.1546221
229,6.0,29.0,1.0,S,S,P,P_S-S,Прыжок через костер были рискованными для обладателей коротких ног.,Прыжок через костер,были рискованными для обладателей коротких ног.,2.3045175,-1.1546221
230,7.0,29.0,1.0,S,P,S,S_S-P,Прыжок через костры был рискованным для обладателей коротких ног.,Прыжок через костры,был рискованным для обладателей коротких ног.,2.8815699,-0.8085543
231,8.0,29.0,1.0,S,P,P,P_S-P,Прыжок через костры были рискованными для обладателей коротких ног.,Прыжок через костры,были рискованными для обладателей коротких ног.,2.8815699,-0.8085543
232,1.0,30.0,1.0,P,S,P,P_P-S,Путешествия на курорт были приятными для членов большой семьи.,Путешествия на курорт,были приятными для членов большой семьи.,-1.5056361,-0.5672551
233,2.0,30.0,1.0,P,P,S,S_P-P,Путешествия на курорты было приятным для членов большой семьи.,Путешествия на курорты,было приятным для членов большой семьи.,-3.12992,-0.82394725
234,3.0,30.0,1.0,P,P,P,P_P-P,Путешествия на курорты были приятными для членов большой семьи.,Путешествия на курорты,были приятными для членов большой семьи.,-3.12992,-0.82394725
235,4.0,30.0,1.0,S,S,S,S_S-S,Путешествие на курорт было приятным для членов большой семьи.,Путешествие на курорт,было приятным для членов большой семьи.,1.5816183,-6.538467
236,5.0,30.0,1.0,S,S,P,P_S-S,Путешествие на курорт были приятными для членов большой семьи.,Путешествие на курорт,были приятными для членов большой семьи.,1.5816183,-6.538467
237,6.0,30.0,1.0,S,P,S,S_S-P,Путешествие на курорты было приятным для членов большой семьи.,Путешествие на курорты,было приятным для членов большой семьи.,-0.58998966,-4.5528564
238,7.0,30.0,1.0,S,P,P,P_S-P,Путешествие на курорты были приятными для членов большой семьи.,Путешествие на курорты,были приятными для членов большой семьи.,-0.58998966,-4.5528564
239,8.0,30.0,1.0,P,S,S,S_P-S,Путешествия на курорт было приятным для членов большой семьи.,Путешествия на курорт,было приятным для членов большой семьи.,-1.5056361,-0.5672551
240,1.0,31.0,1.0,P,P,S,S_P-P,Рецепты на порошки был мятым из-за частого предъявления аптекарям.,Рецепты на порошки,был мятым из-за частого предъявления аптекарям.,-2.8785667,-0.25985017
241,2.0,31.0,1.0,P,P,P,P_P-P,Рецепты на порошки были мятыми из-за частого предъявления аптекарям.,Рецепты на порошки,были мятыми из-за частого предъявления аптекарям.,-2.8785667,-0.25985017
242,3.0,31.0,1.0,S,S,S,S_S-S,Рецепт на порошок был мятым из-за частого предъявления аптекарям.,Рецепт на порошок,был мятым из-за частого предъявления аптекарям.,0.54144984,-4.409629
243,4.0,31.0,1.0,S,S,P,P_S-S,Рецепт на порошок были мятыми из-за частого предъявления аптекарям.,Рецепт на порошок,были мятыми из-за частого предъявления аптекарям.,0.54144984,-4.409629
244,5.0,31.0,1.0,S,P,S,S_S-P,Рецепт на порошки был мятым из-за частого предъявления аптекарям.,Рецепт на порошки,был мятым из-за частого предъявления аптекарям.,1.5411453,-2.259266
245,6.0,31.0,1.0,S,P,P,P_S-P,Рецепт на порошки были мятыми из-за частого предъявления аптекарям.,Рецепт на порошки,были мятыми из-за частого предъявления аптекарям.,1.5411453,-2.259266
246,7.0,31.0,1.0,P,S,S,S_P-S,Рецепты на порошок был мятым из-за частого предъявления аптекарям.,Рецепты на порошок,был мятым из-за частого предъявления аптекарям.,-2.463522,-1.5405841
247,8.0,31.0,1.0,P,S,P,P_P-S,Рецепты на порошок были мятыми из-за частого предъявления аптекарям.,Рецепты на порошок,были мятыми из-за частого предъявления аптекарям.,-2.463522,-1.5405841
248,1.0,32.0,1.0,P,P,P,P_P-P,Ссылки на сайты были даны в списке источников статьи.,Ссылки на сайты,были даны в списке источников статьи.,-6.074935,-2.0535097
249,2.0,32.0,1.0,S,S,S,S_S-S,Ссылка на сайт была дана в списке источников статьи.,Ссылка на сайт,была дана в списке источников статьи.,-2.2353246,-8.407963
250,3.0,32.0,1.0,S,S,P,P_S-S,Ссылка на сайт были даны в списке источников статьи.,Ссылка на сайт,были даны в списке источников статьи.,-2.2353246,-8.407963
251,4.0,32.0,1.0,S,P,S,S_S-P,Ссылка на сайты была дана в списке источников статьи.,Ссылка на сайты,была дана в списке источников статьи.,-3.03458,-5.8103004
252,5.0,32.0,1.0,S,P,P,P_S-P,Ссылка на сайты были даны в списке источников статьи.,Ссылка на сайты,были даны в списке источников статьи.,-3.03458,-5.8103004
253,6.0,32.0,1.0,P,S,S,S_P-S,Ссылки на сайт была дана в списке источников статьи.,Ссылки на сайт,была дана в списке источников статьи.,-5.223523,-1.2969329
254,7.0,32.0,1.0,P,S,P,P_P-S,Ссылки на сайт были даны в списке источников статьи.,Ссылки на сайт,были даны в списке источников статьи.,-5.223523,-1.2969329
255,8.0,32.0,1.0,P,P,S,S_P-P,Ссылки на сайты была дана в списке источников статьи.,Ссылки на сайты,была дана в списке источников статьи.,-6.074935,-2.0535097
256,1.0,33.0,2.0,S,S,S,S_S-S,Аргумент против обвинения был сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинения,был сокрушительным для адвоката пострадавшей стороны.,0.96097684,-2.6910326
257,2.0,33.0,2.0,S,S,P,P_S-S,Аргумент против обвинения были сокрушительными для адвоката пострадавшей стороны.,Аргумент против обвинения,были сокрушительными для адвоката пострадавшей стороны.,0.96097684,-2.6910326
258,3.0,33.0,2.0,S,P,S,S_S-P,Аргумент против обвинений был сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинений,был сокрушительным для адвоката пострадавшей стороны.,1.7259862,-2.7314794
259,4.0,33.0,2.0,S,P,P,P_S-P,Аргумент против обвинений были сокрушительными для адвоката пострадавшей стороны.,Аргумент против обвинений,были сокрушительными для адвоката пострадавшей стороны.,1.7259862,-2.7314794
