...1,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,masked_left,masked_full,need_to_predict,left_bert_is_singular,full_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score,full_bert_is_singular_score,full_bert_is_plural_score,verb_correct_delta,verb_correct_delta2
130,3,17,1,S,P,S,S_S-P,Налог на доходы был повышен из-за смены политического курса.,Налог на доходы,был повышен из-за смены политического курса.,Налог на доходы [MASK],Налог на доходы [MASK] [MASK] из-за смены политического курса.,был повышен,TRUE,TRUE,2.059551239013672,1.962603449821472,11.845132827758787,7.899425029754639,0.09694778919219993,2.059551239013672
132,5,17,1,P,S,S,S_P-S,Налоги на доход был повышен из-за смены политического курса.,Налоги на доход,был повышен из-за смены политического курса.,Налоги на доход [MASK],Налоги на доход [MASK] [MASK] из-за смены политического курса.,был повышен,FALSE,FALSE,0.8628084063529968,1.767914652824402,7.351776599884033,11.085319519042969,0.9051062464714053,1.767914652824402
134,7,17,1,P,P,S,S_P-P,Налоги на доходы был повышен из-за смены политического курса.,Налоги на доходы,был повышен из-за смены политического курса.,Налоги на доходы [MASK],Налоги на доходы [MASK] [MASK] из-за смены политического курса.,был повышен,FALSE,FALSE,1.4648306369781494,3.136388778686523,6.436692714691162,11.69252586364746,1.6715581417083736,3.136388778686523
137,2,18,1,S,P,S,S_S-P,Нападение на банки было совершено с применением холодного оружия.,Нападение на банки,было совершено с применением холодного оружия.,Нападение на банки [MASK],Нападение на банки [MASK] [MASK] с применением холодного оружия.,было совершено,TRUE,TRUE,2.1190595626831055,-1.690054178237915,13.419781684875488,9.295616149902344,3.8091137409210205,2.1190595626831055
139,4,18,1,P,S,S,S_P-S,Нападения на банк было совершено с применением холодного оружия.,Нападения на банк,было совершено с применением холодного оружия.,Нападения на банк [MASK],Нападения на банк [MASK] [MASK] с применением холодного оружия.,было совершено,FALSE,FALSE,0.7518715858459473,1.44476056098938,7.595894813537598,10.98843002319336,0.6928889751434328,1.44476056098938
141,6,18,1,P,P,S,S_P-P,Нападения на банки было совершено с применением холодного оружия.,Нападения на банки,было совершено с применением холодного оружия.,Нападения на банки [MASK],Нападения на банки [MASK] [MASK] с применением холодного оружия.,было совершено,FALSE,FALSE,0.4880290627479553,1.9769490957260132,7.031148910522461,10.940834999084473,1.4889200329780579,1.9769490957260132
143,8,18,1,S,S,S,S_S-S,Нападение на банк было совершено с применением холодного оружия.,Нападение на банк,было совершено с применением холодного оружия.,Нападение на банк [MASK],Нападение на банк [MASK] [MASK] с применением холодного оружия.,было совершено,TRUE,TRUE,1.6145071983337402,-3.5566368103027344,13.073126792907717,7.310052394866943,5.171144008636475,1.6145071983337402
144,1,19,1,S,P,S,S_S-P,Окно в сады было закрыто из-за сильного холодного ветра.,Окно в сады,было закрыто из-за сильного холодного ветра.,Окно в сады [MASK],Окно в сады [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,TRUE,TRUE,-0.7492476105690002,-1.461032152175903,12.64686107635498,5.96334981918335,0.7117845416069029,-0.7492476105690002
146,3,19,1,P,S,S,S_P-S,Окна в сад было закрыто из-за сильного холодного ветра.,Окна в сад,было закрыто из-за сильного холодного ветра.,Окна в сад [MASK],Окна в сад [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,FALSE,FALSE,9.0724229812622e-4,1.8883789777755735,6.924510478973389,11.318472862243652,1.8874717354774473,1.8883789777755735
148,5,19,1,P,P,S,S_P-P,Окна в сады было закрыто из-за сильного холодного ветра.,Окна в сады,было закрыто из-за сильного холодного ветра.,Окна в сады [MASK],Окна в сады [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,FALSE,FALSE,-0.5476875305175781,1.7485443353652954,6.821046829223633,11.797582626342772,2.2962318658828735,1.7485443353652954
150,7,19,1,S,S,S,S_S-S,Окно в сад было закрыто из-за сильного холодного ветра.,Окно в сад,было закрыто из-за сильного холодного ветра.,Окно в сад [MASK],Окно в сад [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,TRUE,TRUE,0.33136889338493347,-1.993610978126526,12.430182456970217,5.020031452178955,2.3249798715114594,0.33136889338493347
153,2,20,1,P,S,S,S_P-S,Ответы на вопрос был неверным из-за недостаточного знания материала.,Ответы на вопрос,был неверным из-за недостаточного знания материала.,Ответы на вопрос [MASK],Ответы на вопрос [MASK] [MASK] из-за недостаточного знания материала.,был неверным,FALSE,FALSE,0.1321992576122284,1.8685382604599,7.32395601272583,12.004950523376465,1.7363390028476715,1.8685382604599
155,4,20,1,P,P,S,S_P-P,Ответы на вопросы был неверным из-за недостаточного знания материала.,Ответы на вопросы,был неверным из-за недостаточного знания материала.,Ответы на вопросы [MASK],Ответы на вопросы [MASK] [MASK] из-за недостаточного знания материала.,был неверным,FALSE,FALSE,-0.16075164079666138,2.5201430320739746,6.435116291046143,12.31854248046875,2.680894672870636,2.5201430320739746
157,6,20,1,S,S,S,S_S-S,Ответ на вопрос был неверным из-за недостаточного знания материала.,Ответ на вопрос,был неверным из-за недостаточного знания материала.,Ответ на вопрос [MASK],Ответ на вопрос [MASK] [MASK] из-за недостаточного знания материала.,был неверным,TRUE,TRUE,2.4602701663970947,-1.346914291381836,11.898381233215332,6.1896514892578125,3.8071844577789307,2.4602701663970947
159,8,20,1,S,P,S,S_S-P,Ответ на вопросы был неверным из-за недостаточного знания материала.,Ответ на вопросы,был неверным из-за недостаточного знания материала.,Ответ на вопросы [MASK],Ответ на вопросы [MASK] [MASK] из-за недостаточного знания материала.,был неверным,TRUE,TRUE,1.545971155166626,0.09877896308898926,12.182901382446287,7.372915267944336,1.4471921920776367,1.545971155166626
160,1,21,1,P,S,S,S_P-S,Очереди в театр была бесконечной из-за большого наплыва туристов.,Очереди в театр,была бесконечной из-за большого наплыва туристов.,Очереди в театр [MASK],Очереди в театр [MASK] [MASK] из-за большого наплыва туристов.,была бесконечной,FALSE,FALSE,1.190295696258545,2.486701488494873,5.619274139404297,8.851999282836914,1.2964057922363281,2.486701488494873
162,3,21,1,P,P,S,S_P-P,Очереди в театры была бесконечной из-за большого наплыва туристов.,Очереди в театры,была бесконечной из-за большого наплыва туристов.,Очереди в театры [MASK],Очереди в театры [MASK] [MASK] из-за большого наплыва туристов.,была бесконечной,FALSE,FALSE,0.5572333931922913,3.284036159515381,5.0889410972595215,8.910070419311523,2.7268027663230896,3.284036159515381
164,5,21,1,S,S,S,S_S-S,Очередь в театр была бесконечной из-за большого наплыва туристов.,Очередь в театр,была бесконечной из-за большого наплыва туристов.,Очередь в театр [MASK],Очередь в театр [MASK] [MASK] из-за большого наплыва туристов.,была бесконечной,TRUE,TRUE,1.3242952823638916,-1.9719451665878296,10.22321891784668,4.267070293426514,3.296240448951721,1.3242952823638916
166,7,21,1,S,P,S,S_S-P,Очередь в театры была бесконечной из-за большого наплыва туристов.,Очередь в театры,была бесконечной из-за большого наплыва туристов.,Очередь в театры [MASK],Очередь в театры [MASK] [MASK] из-за большого наплыва туристов.,была бесконечной,TRUE,TRUE,1.604499578475952,-0.39607107639312744,9.50987434387207,5.909091472625732,2.0005706548690796,1.604499578475952
169,2,22,1,P,P,S,S_P-P,Переправы через ручьи была опасной из-за тяжёлых погодных условий.,Переправы через ручьи,была опасной из-за тяжёлых погодных условий.,Переправы через ручьи [MASK],Переправы через ручьи [MASK] [MASK] из-за тяжёлых погодных условий.,была опасной,FALSE,FALSE,0.36968427896499634,3.021879196166992,6.131344318389893,11.67679500579834,2.652194917201996,3.021879196166992
171,4,22,1,S,S,S,S_S-S,Переправа через ручей была опасной из-за тяжёлых погодных условий.,Переправа через ручей,была опасной из-за тяжёлых погодных условий.,Переправа через ручей [MASK],Переправа через ручей [MASK] [MASK] из-за тяжёлых погодных условий.,была опасной,TRUE,TRUE,1.859321117401123,-1.4994107484817505,13.49701690673828,5.3142571449279785,3.3587318658828735,1.859321117401123
173,6,22,1,S,P,S,S_S-P,Переправа через ручьи была опасной из-за тяжёлых погодных условий.,Переправа через ручьи,была опасной из-за тяжёлых погодных условий.,Переправа через ручьи [MASK],Переправа через ручьи [MASK] [MASK] из-за тяжёлых погодных условий.,была опасной,TRUE,TRUE,3.1328413486480713,1.4739218950271606,14.048715591430664,6.5045485496521,1.6589194536209106,3.1328413486480713
175,8,22,1,P,S,S,S_P-S,Переправы через ручей была опасной из-за тяжёлых погодных условий.,Переправы через ручей,была опасной из-за тяжёлых погодных условий.,Переправы через ручей [MASK],Переправы через ручей [MASK] [MASK] из-за тяжёлых погодных условий.,была опасной,FALSE,FALSE,-0.9012309908866882,1.68315589427948,5.910471439361572,11.092199325561523,2.584386885166168,1.68315589427948
176,1,23,1,P,P,S,S_P-P,Песни про поезда была грустной для большинства отставных машинистов.,Песни про поезда,была грустной для большинства отставных машинистов.,Песни про поезда [MASK],Песни про поезда [MASK] [MASK] для большинства отставных машинистов.,была грустной,FALSE,FALSE,-1.0734832286834717,1.793793559074402,5.558279514312744,11.897090911865234,2.8672767877578735,1.793793559074402
178,3,23,1,S,S,S,S_S-S,Песня про поезд была грустной для большинства отставных машинистов.,Песня про поезд,была грустной для большинства отставных машинистов.,Песня про поезд [MASK],Песня про поезд [MASK] [MASK] для большинства отставных машинистов.,была грустной,TRUE,TRUE,0.7686585783958435,-2.159874439239502,10.698202133178713,3.8455638885498047,2.9285330176353455,0.7686585783958435
180,5,23,1,S,P,S,S_S-P,Песня про поезда была грустной для большинства отставных машинистов.,Песня про поезда,была грустной для большинства отставных машинистов.,Песня про поезда [MASK],Песня про поезда [MASK] [MASK] для большинства отставных машинистов.,была грустной,TRUE,TRUE,1.2825089693069458,-0.6269850730895996,10.66584014892578,4.092161655426025,1.9094940423965454,1.2825089693069458
182,7,23,1,P,S,S,S_P-S,Песни про поезд была грустной для большинства отставных машинистов.,Песни про поезд,была грустной для большинства отставных машинистов.,Песни про поезд [MASK],Песни про поезд [MASK] [MASK] для большинства отставных машинистов.,была грустной,FALSE,FALSE,-0.17879822850227356,0.7439495325088501,5.94009256362915,11.50400733947754,0.9227477610111237,0.7439495325088501
185,2,24,1,S,S,S,S_S-S,Письмо про поход было отправлено из маленького сибирского посёлка.,Письмо про поход,было отправлено из маленького сибирского посёлка.,Письмо про поход [MASK],Письмо про поход [MASK] [MASK] из маленького сибирского посёлка.,было отправлено,TRUE,TRUE,0.6509150266647339,-1.8242006301879885,7.351776123046875,3.791787624359131,2.475115656852722,0.6509150266647339
187,4,24,1,S,P,S,S_S-P,Письмо про походы было отправлено из маленького сибирского посёлка.,Письмо про походы,было отправлено из маленького сибирского посёлка.,Письмо про походы [MASK],Письмо про походы [MASK] [MASK] из маленького сибирского посёлка.,было отправлено,FALSE,TRUE,-0.6093400716781616,-0.5234779119491577,7.1629109382629395,5.576841354370117,-0.0858621597290039,-0.6093400716781616
189,6,24,1,P,S,S,S_P-S,Письма про поход было отправлено из маленького сибирского посёлка.,Письма про поход,было отправлено из маленького сибирского посёлка.,Письма про поход [MASK],Письма про поход [MASK] [MASK] из маленького сибирского посёлка.,было отправлено,FALSE,FALSE,-0.29902347922325134,-0.02461975812911987,4.26833438873291,5.690986633300781,0.27440372109413147,-0.02461975812911987
191,8,24,1,P,P,S,S_P-P,Письма про походы было отправлено из маленького сибирского посёлка.,Письма про походы,было отправлено из маленького сибирского посёлка.,Письма про походы [MASK],Письма про походы [MASK] [MASK] из маленького сибирского посёлка.,было отправлено,FALSE,FALSE,-1.8116977214813232,0.4545676708221435,2.6325063705444336,6.797811985015869,2.266265392303467,0.4545676708221435
192,1,25,1,S,S,S,S_S-S,План на выходной был разрушен из-за визита назойливых родственников.,План на выходной,был разрушен из-за визита назойливых родственников.,План на выходной [MASK],План на выходной [MASK] [MASK] из-за визита назойливых родственников.,был разрушен,TRUE,TRUE,2.5482242107391357,-2.8052878379821777,12.393176078796388,6.237155437469482,5.3535120487213135,2.5482242107391357
194,3,25,1,S,P,S,S_S-P,План на выходные был разрушен из-за визита назойливых родственников.,План на выходные,был разрушен из-за визита назойливых родственников.,План на выходные [MASK],План на выходные [MASK] [MASK] из-за визита назойливых родственников.,был разрушен,TRUE,TRUE,1.927065372467041,-0.4514462947845459,12.45643138885498,7.220773220062256,2.378511667251587,1.927065372467041
196,5,25,1,P,S,S,S_P-S,Планы на выходной был разрушен из-за визита назойливых родственников.,Планы на выходной,был разрушен из-за визита назойливых родственников.,Планы на выходной [MASK],Планы на выходной [MASK] [MASK] из-за визита назойливых родственников.,был разрушен,TRUE,FALSE,1.1794121265411377,0.7519644498825073,8.619776725769043,11.784564018249512,-0.42744767665863037,0.7519644498825073
198,7,25,1,P,P,S,S_P-P,Планы на выходные был разрушен из-за визита назойливых родственников.,Планы на выходные,был разрушен из-за визита назойливых родственников.,Планы на выходные [MASK],Планы на выходные [MASK] [MASK] из-за визита назойливых родственников.,был разрушен,FALSE,FALSE,-1.6336009502410889,3.215182304382324,7.000445365905762,11.759533882141112,4.848783254623413,3.215182304382324
201,2,26,1,S,P,S,S_S-P,Поездка на острова была незабываемой для молодых влюблённых студентов.,Поездка на острова,была незабываемой для молодых влюблённых студентов.,Поездка на острова [MASK],Поездка на острова [MASK] [MASK] для молодых влюблённых студентов.,была незабываемой,FALSE,TRUE,-1.2229759693145752,-0.5262253284454346,7.41015625,2.6852216720581055,-0.6967506408691406,-1.2229759693145752
203,4,26,1,P,S,S,S_P-S,Поездки на остров была незабываемой для молодых влюблённых студентов.,Поездки на остров,была незабываемой для молодых влюблённых студентов.,Поездки на остров [MASK],Поездки на остров [MASK] [MASK] для молодых влюблённых студентов.,была незабываемой,FALSE,FALSE,-0.2882271707057953,0.7763491868972778,3.747528076171875,6.453736782073975,1.0645763576030731,0.7763491868972778
205,6,26,1,P,P,S,S_P-P,Поездки на острова была незабываемой для молодых влюблённых студентов.,Поездки на острова,была незабываемой для молодых влюблённых студентов.,Поездки на острова [MASK],Поездки на острова [MASK] [MASK] для молодых влюблённых студентов.,была незабываемой,FALSE,FALSE,-3.133802890777588,0.9965208768844604,2.452528953552246,7.475876331329346,4.130323767662048,0.9965208768844604
207,8,26,1,S,S,S,S_S-S,Поездка на остров была незабываемой для молодых влюблённых студентов.,Поездка на остров,была незабываемой для молодых влюблённых студентов.,Поездка на остров [MASK],Поездка на остров [MASK] [MASK] для молодых влюблённых студентов.,была незабываемой,TRUE,TRUE,0.44173309206962585,-2.4916787147521973,6.5761003494262695,0.4750376343727112,2.933411806821823,0.44173309206962585
208,1,27,1,S,P,S,S_S-P,Полет через проливы был запрещён из-за усилившегося северного ветра.,Полет через проливы,был запрещён из-за усилившегося северного ветра.,Полет через проливы [MASK],Полет через проливы [MASK] [MASK] из-за усилившегося северного ветра.,был запрещён,TRUE,TRUE,1.0265775918960571,-0.8157418966293335,12.450039863586426,6.83880090713501,1.8423194885253906,1.0265775918960571
210,3,27,1,P,S,S,S_P-S,Полеты через пролив был запрещён из-за усилившегося северного ветра.,Полеты через пролив,был запрещён из-за усилившегося северного ветра.,Полеты через пролив [MASK],Полеты через пролив [MASK] [MASK] из-за усилившегося северного ветра.,был запрещён,FALSE,FALSE,-0.4839536845684051,0.36367207765579224,7.707779407501221,11.158802032470703,0.8476257622241974,0.36367207765579224
212,5,27,1,P,P,S,S_P-P,Полеты через проливы был запрещён из-за усилившегося северного ветра.,Полеты через проливы,был запрещён из-за усилившегося северного ветра.,Полеты через проливы [MASK],Полеты через проливы [MASK] [MASK] из-за усилившегося северного ветра.,был запрещён,FALSE,FALSE,-2.289758682250977,1.5023349523544312,6.445499897003174,11.699014663696287,3.792093634605408,1.5023349523544312
214,7,27,1,S,S,S,S_S-S,Полет через пролив был запрещён из-за усилившегося северного ветра.,Полет через пролив,был запрещён из-за усилившегося северного ветра.,Полет через пролив [MASK],Полет через пролив [MASK] [MASK] из-за усилившегося северного ветра.,был запрещён,TRUE,TRUE,2.0399107933044434,-3.046567440032959,12.066286087036133,5.374039173126221,5.086478233337402,2.0399107933044434
217,2,28,1,P,S,S,S_P-S,Прогулки через парк была приятной для ценителей ландшафтного дизайна.,Прогулки через парк,была приятной для ценителей ландшафтного дизайна.,Прогулки через парк [MASK],Прогулки через парк [MASK] [MASK] для ценителей ландшафтного дизайна.,была приятной,FALSE,FALSE,-1.056708812713623,0.35402536392211914,3.5098447799682617,7.668917179107666,1.4107341766357422,0.35402536392211914
219,4,28,1,P,P,S,S_P-P,Прогулки через парки была приятной для ценителей ландшафтного дизайна.,Прогулки через парки,была приятной для ценителей ландшафтного дизайна.,Прогулки через парки [MASK],Прогулки через парки [MASK] [MASK] для ценителей ландшафтного дизайна.,была приятной,FALSE,FALSE,0.17383143305778503,2.2320971488952637,2.103407621383667,7.856682300567627,2.0582657158374786,2.2320971488952637
221,6,28,1,S,S,S,S_S-S,Прогулка через парк была приятной для ценителей ландшафтного дизайна.,Прогулка через парк,была приятной для ценителей ландшафтного дизайна.,Прогулка через парк [MASK],Прогулка через парк [MASK] [MASK] для ценителей ландшафтного дизайна.,была приятной,TRUE,TRUE,-0.913947582244873,-3.05538272857666,7.867611885070801,1.2509809732437134,2.141435146331787,-0.913947582244873
223,8,28,1,S,P,S,S_S-P,Прогулка через парки была приятной для ценителей ландшафтного дизайна.,Прогулка через парки,была приятной для ценителей ландшафтного дизайна.,Прогулка через парки [MASK],Прогулка через парки [MASK] [MASK] для ценителей ландшафтного дизайна.,была приятной,TRUE,TRUE,0.13944345712661743,-0.07451009750366211,7.984569549560547,3.6632113456726074,0.21395355463027954,0.13944345712661743
224,1,29,1,P,S,S,S_P-S,Прыжки через костер был рискованным для обладателей коротких ног.,Прыжки через костер,был рискованным для обладателей коротких ног.,Прыжки через костер [MASK],Прыжки через костер [MASK] [MASK] для обладателей коротких ног.,был рискованным,FALSE,FALSE,-2.433443307876587,-1.9882992506027224,4.688298225402832,9.300981521606444,0.4451440572738645,-1.9882992506027224
226,3,29,1,P,P,S,S_P-P,Прыжки через костры был рискованным для обладателей коротких ног.,Прыжки через костры,был рискованным для обладателей коротких ног.,Прыжки через костры [MASK],Прыжки через костры [MASK] [MASK] для обладателей коротких ног.,был рискованным,FALSE,FALSE,-2.3223137855529785,-0.9577072858810424,3.668098211288452,9.149222373962402,1.364606499671936,-0.9577072858810424
228,5,29,1,S,S,S,S_S-S,Прыжок через костер был рискованным для обладателей коротких ног.,Прыжок через костер,был рискованным для обладателей коротких ног.,Прыжок через костер [MASK],Прыжок через костер [MASK] [MASK] для обладателей коротких ног.,был рискованным,TRUE,TRUE,-0.9243744611740112,-4.689514636993408,8.751225471496582,2.7019777297973633,3.765140175819397,-0.9243744611740112
230,7,29,1,S,P,S,S_S-P,Прыжок через костры был рискованным для обладателей коротких ног.,Прыжок через костры,был рискованным для обладателей коротких ног.,Прыжок через костры [MASK],Прыжок через костры [MASK] [MASK] для обладателей коротких ног.,был рискованным,TRUE,TRUE,-1.3623682260513306,-3.2124781608581543,8.457998275756836,3.770102024078369,1.8501099348068237,-1.3623682260513306
233,2,30,1,P,P,S,S_P-P,Путешествия на курорты было приятным для членов большой семьи.,Путешествия на курорты,было приятным для членов большой семьи.,Путешествия на курорты [MASK],Путешествия на курорты [MASK] [MASK] для членов большой семьи.,было приятным,FALSE,FALSE,-2.8284683227539063,-0.99528169631958,2.298502206802368,7.979067325592041,1.8331866264343262,-0.99528169631958
235,4,30,1,S,S,S,S_S-S,Путешествие на курорт было приятным для членов большой семьи.,Путешествие на курорт,было приятным для членов большой семьи.,Путешествие на курорт [MASK],Путешествие на курорт [MASK] [MASK] для членов большой семьи.,было приятным,TRUE,TRUE,-0.7689718008041382,-4.74195671081543,8.808419227600098,2.6501259803771973,3.9729849100112915,-0.7689718008041382
237,6,30,1,S,P,S,S_S-P,Путешествие на курорты было приятным для членов большой семьи.,Путешествие на курорты,было приятным для членов большой семьи.,Путешествие на курорты [MASK],Путешествие на курорты [MASK] [MASK] для членов большой семьи.,было приятным,TRUE,TRUE,-1.3528804779052734,-1.8966163396835327,7.200572490692139,3.4228248596191406,0.5437358617782593,-1.3528804779052734
239,8,30,1,P,S,S,S_P-S,Путешествия на курорт было приятным для членов большой семьи.,Путешествия на курорт,было приятным для членов большой семьи.,Путешествия на курорт [MASK],Путешествия на курорт [MASK] [MASK] для членов большой семьи.,было приятным,TRUE,FALSE,-1.031285285949707,-1.0545378923416138,5.414659023284912,9.907451629638672,-0.02325260639190674,-1.0545378923416138
240,1,31,1,P,P,S,S_P-P,Рецепты на порошки был мятым из-за частого предъявления аптекарям.,Рецепты на порошки,был мятым из-за частого предъявления аптекарям.,Рецепты на порошки [MASK],Рецепты на порошки [MASK] [MASK] из-за частого предъявления аптекарям.,был мятым,FALSE,FALSE,-0.3763617277145386,1.4713079929351809,4.973492622375488,9.92513656616211,1.8476697206497195,1.4713079929351809
242,3,31,1,S,S,S,S_S-S,Рецепт на порошок был мятым из-за частого предъявления аптекарям.,Рецепт на порошок,был мятым из-за частого предъявления аптекарям.,Рецепт на порошок [MASK],Рецепт на порошок [MASK] [MASK] из-за частого предъявления аптекарям.,был мятым,TRUE,TRUE,0.00711634755134582,-2.281022548675537,9.822759628295898,3.8097777366638184,2.288138896226883,0.00711634755134582
244,5,31,1,S,P,S,S_S-P,Рецепт на порошки был мятым из-за частого предъявления аптекарям.,Рецепт на порошки,был мятым из-за частого предъявления аптекарям.,Рецепт на порошки [MASK],Рецепт на порошки [MASK] [MASK] из-за частого предъявления аптекарям.,был мятым,TRUE,TRUE,-0.01861295104026794,-0.7107244729995728,9.86556339263916,4.924167156219482,0.6921115219593048,-0.01861295104026794
246,7,31,1,P,S,S,S_P-S,Рецепты на порошок был мятым из-за частого предъявления аптекарям.,Рецепты на порошок,был мятым из-за частого предъявления аптекарям.,Рецепты на порошок [MASK],Рецепты на порошок [MASK] [MASK] из-за частого предъявления аптекарям.,был мятым,FALSE,FALSE,-0.5987812876701355,1.0727227926254272,4.947874069213867,9.628225326538086,1.6715040802955627,1.0727227926254272
249,2,32,1,S,S,S,S_S-S,Ссылка на сайт была дана в списке источников статьи.,Ссылка на сайт,была дана в списке источников статьи.,Ссылка на сайт [MASK],Ссылка на сайт [MASK] [MASK] в списке источников статьи.,была дана,TRUE,TRUE,-4.227904796600342,-5.5404181480407715,3.937376737594605,0.2779439687728882,1.3125133514404297,-4.227904796600342
251,4,32,1,S,P,S,S_S-P,Ссылка на сайты была дана в списке источников статьи.,Ссылка на сайты,была дана в списке источников статьи.,Ссылка на сайты [MASK],Ссылка на сайты [MASK] [MASK] в списке источников статьи.,была дана,FALSE,FALSE,-2.347381591796875,-1.0765823125839231,5.009542942047119,6.405955791473389,-1.2707992792129519,-2.347381591796875
253,6,32,1,P,S,S,S_P-S,Ссылки на сайт была дана в списке источников статьи.,Ссылки на сайт,была дана в списке источников статьи.,Ссылки на сайт [MASK],Ссылки на сайт [MASK] [MASK] в списке источников статьи.,была дана,FALSE,FALSE,-4.880542755126953,-4.427261829376221,1.3615039587020874,4.406981945037842,0.4532809257507324,-4.427261829376221
255,8,32,1,P,P,S,S_P-P,Ссылки на сайты была дана в списке источников статьи.,Ссылки на сайты,была дана в списке источников статьи.,Ссылки на сайты [MASK],Ссылки на сайты [MASK] [MASK] в списке источников статьи.,была дана,FALSE,FALSE,-2.443394422531128,-0.7069379091262817,2.5748934745788574,7.2673845291137695,1.7364565134048462,-0.7069379091262817
256,1,33,2,S,S,S,S_S-S,Аргумент против обвинения был сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинения,был сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинения [MASK],Аргумент против обвинения [MASK] [MASK] для адвоката пострадавшей стороны.,был сокрушительным,TRUE,TRUE,-0.18881133198738095,-2.3242340087890625,10.15726089477539,3.3463101387023926,2.1354226768016815,-0.18881133198738095
