i,model,call,n_observations,n_rand_effect_groups,optimizer,optimizer_message,REML,logLik,Intercept_Estimate,Yoh_Estimate,N1S_Estimate,N2S_Estimate,PredS_Estimate,Intercept_stdError,Yoh_stdError,N1S_stdError,N2S_stdError,PredS_stdError,Intercept_df,Yoh_df,N1S_df,N2S_df,PredS_df,Intercept_t value,Yoh_t value,N1S_t value,N2S_t value,PredS_t value,Intercept_p_two_sided,Yoh_p_two_sided,N1S_p_two_sided,N2S_p_two_sided,PredS_p_two_sided,Y_KR_stat,N1_KR_stat,N2_KR_stat,Pred_KR_stat,Y_KR_ddf,N1_KR_ddf,N2_KR_ddf,Pred_KR_ddf,Y_KR_p.value,N1_KR_p.value,N2_KR_p.value,Pred_KR_p.value
1,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-8657.632145056426,4328.816072528213,0.0021672563002633496,3.623022750671608e-4,2.084621857383225e-4,5.43903394095036e-4,2.7428503227521183e-4,3.626738264168458e-4,1.988697953622286e-4,1.988697953622286e-4,1.988697953622286e-4,1.988697953622286e-4,127.271253312959,956.0000015709768,956.0000015709768,956.0000015709768,956.0000015709768,5.975772560362197,1.8218064458066667,1.0482345263071347,2.7349723627177815,1.379219160836462,2.148987874149457e-8,0.06879671896243984,0.29479549825289564,0.006353984063207621,0.168149751762272,3.3189787259827184,1.0987956221423432,7.480073824830083,1.9022454936184345,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.0687967189629533,0.2947954982533309,0.0063539840633981106,0.16814975176280186
2,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-7380.633181013699,3690.3165905068495,0.007331448176096045,-0.0016911335454921075,0.0014287852009289305,6.25342709511758e-4,-7.574418045379599e-4,6.745061339680816e-4,3.7235200981077383e-4,3.7235200981077383e-4,3.7235200981077383e-4,3.7235200981077383e-4,128.7026207484739,956.0000002633234,956.0000002633234,956.0000002633234,956.0000002633234,10.86935730734656,-4.541760218647745,3.837189442471459,1.6794395975720715,-2.03420898660621,6.335383731392803e-20,6.291049026377242e-6,1.3262174776075455e-4,0.09339315016825976,0.04220614777361828,20.627585883691207,14.724022817414427,2.8205173618930415,4.138006201189464,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,6.291049026582617e-6,1.3262174776305458e-4,0.09339315016834973,0.042206147773694226
3,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-6041.075384289381,3020.5376921446905,0.012601230368147635,-0.006602088236263622,0.0012250696340174764,0.0024099216585682405,0.002253471856136006,0.001588885693829614,7.057397876385146e-4,7.057397876385146e-4,7.057397876385146e-4,7.057397876385146e-4,97.38614466961455,956.0000017917143,956.0000017917143,956.0000017917143,956.0000017917143,7.930860235625574,-9.354847710024908,1.7358659033759432,3.4147453505946035,3.1930633579217327,3.683374574604852e-12,5.778960060436187e-20,0.08290974350263053,6.652554493634959e-4,0.0014537207202455877,87.51317567775824,3.0132304345031797,11.660485809407461,10.195653607702411,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,5.778960080180053e-20,0.08290974350323443,6.652554494144383e-4,0.0014537207203325984
4,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-5850.826301037271,2925.4131505186356,0.01498903290836051,-0.008552012968635848,0.0029898928638374318,0.0011407086277870268,8.29931221943517e-4,0.0013215854264364126,7.950874816778283e-4,7.950874816778283e-4,7.950874816778283e-4,7.950874816778283e-4,151.53314722396678,956.0000004367604,956.0000004367604,956.0000004367604,956.0000004367604,11.341705657861006,-10.756065421365983,3.7604577266491854,1.4346957461584653,1.0438237817455758,5.673770929229976e-22,1.501570643864403e-25,1.7990326335467815e-4,0.15170085630222185,0.2968307980643373,115.69294334870496,14.141042313915559,2.0583518840451953,1.0895680873376357,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,1.501570645961739e-25,1.7990326335947838e-4,0.15170085630237132,0.29683079806445767
5,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-4532.606210099358,2266.303105049679,0.029672773999649925,-0.022298488774623607,7.055893870244648e-4,0.0016296483364328556,0.0011173300448206096,0.0030587952598316766,0.0014902801580015039,0.0014902801580015039,0.0014902801580015039,0.0014902801580015039,107.63524733033883,956.0000012773729,956.0000012773729,956.0000012773729,956.0000012773729,9.700804231428943,-14.962615354502429,0.4734609014527004,1.0935181064332542,0.7497449649460354,2.304401861663238e-16,1.2331171407282398e-45,0.6359924829389727,0.2744418426815273,0.45359277816559007,223.87985824679183,0.2241652252044037,1.19578184909737,0.5621175124619318,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,1.2331171571569864e-45,0.635992482939117,0.27444184268189525,0.45359277816583654
6,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-6752.848089505455,3376.4240447527277,0.008115570132332597,-3.252570481322471e-4,1.4789730300886886e-5,9.53319099323835e-4,0.0011252972363422487,0.0011429770038842997,4.968799867645814e-4,4.968799867645814e-4,4.968799867645814e-4,4.968799867645814e-4,95.44030403560875,956.000000266184,956.000000266184,956.000000266184,956.000000266184,7.100379189391035,-0.6545988101677194,0.029765196214059167,1.9186103781948287,2.2647264255290027,2.20748331260686e-10,0.5128835422591338,0.9762605283561135,0.055331207636726915,0.0237526615619502,0.4284996022729939,8.859669056614421e-4,3.6810657833169036,5.128985782489375,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.5128835422591776,0.9762605283561152,0.05533120763680979,0.023752661562012417
7,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-7658.00098011677,3829.000490058385,0.0023775030776356926,9.713583108563749e-4,-1.7715594578504506e-4,0.0010842697848758584,9.698578382923976e-4,6.886707117205697e-4,3.2036535361865863e-4,3.2036535361865863e-4,3.2036535361865863e-4,3.2036535361865863e-4,102.08928415784293,956.0000016874008,956.0000016874008,956.0000016874008,956.0000016874008,3.452307521102149,3.032032958259945,-0.5529809755767772,3.3844789164264633,3.0273493289378948,8.100939512239837e-4,0.002494637351483332,0.5804057169005546,7.421240712255381e-4,0.0025332424400778693,9.193223859974552,0.3057879593498442,11.454697535735244,9.16484395942072,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,0.0024946373515997928,0.5804057169007825,7.421240712773344e-4,0.0025332424401954706
8,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-7124.374127985574,3562.187063992787,0.007046796909898963,-0.0042271540588778595,4.8496159259414596e-4,7.83916096754211e-4,1.0061915395809032e-4,8.397020344706502e-4,4.185792502978174e-4,4.185792502978174e-4,4.185792502978174e-4,4.185792502978174e-4,110.75175951051321,956.0000004672414,956.0000004672414,956.0000004672414,956.0000004672414,8.392020765248327,-10.098814157343579,1.1585896631261532,1.8728020946964237,0.24038256527646845,1.7429140862850586e-13,7.462386215217806e-23,0.24691281526223147,0.061400728993343034,0.8100852294351757,101.98604738456308,1.3423300075027726,3.507387685899311,0.057783777688895595,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,7.462386224053987e-23,0.2469128152623729,0.06140072899349217,0.8100852294352009
9,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-7425.073814381416,3712.536907190708,0.007612166066468914,-0.0022300412136715426,-1.797035835480185e-4,-1.0348463568732061e-5,-2.0128801602226052e-4,7.039807633288824e-4,3.621024422390385e-4,3.621024422390385e-4,3.621024422390385e-4,3.621024422390385e-4,115.49684383573653,956.000000394642,956.000000394642,956.000000394642,956.000000394642,10.813031353972805,-6.158592026836986,-0.4962782974807689,-0.028578828424196654,-0.5558869329287266,2.999824887314635e-19,1.079442377679703e-9,0.6198121575630962,0.9772064623336243,0.578418221525794,37.928255753020096,0.24629214855041062,8.167494340996708e-4,0.3090102822009067,955.9999999999363,955.9999999999363,955.9999999999363,955.9999999999363,1.079442377847278e-9,0.6198121575631429,0.9772064623336267,0.5784182215258473
10,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-7332.084443248558,3666.042221624279,0.0036792428226162396,0.0017397639064462567,-2.7929580003771537e-4,8.980177264437101e-4,7.2858670192133e-4,8.533796995598672e-4,3.741996769339562e-4,3.741996769339562e-4,3.741996769339562e-4,3.741996769339562e-4,96.20428718859053,956.0000023497632,956.0000023497632,956.0000023497632,956.0000023497632,4.311378422188644,4.649292914149987,-0.7463817241269539,2.399835654059649,1.9470532628223536,3.924176057941033e-5,3.798339625066919e-6,0.45562035592031647,0.016592877404587685,0.05182088571622064,21.615924601565272,0.5570856781107243,5.759211166495903,3.791016408267173,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,3.798339626275573e-6,0.45562035592076744,0.016592877405056713,0.05182088571693996
11,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-7726.318222380324,3863.159111190162,0.006212831435348692,-0.0024637982894120114,3.069163930007332e-4,8.402935314961721e-4,5.195499991117473e-4,5.601465991139355e-4,3.147602502315701e-4,3.147602502315701e-4,3.147602502315701e-4,3.147602502315701e-4,132.69985962563655,956.0000002499232,956.0000002499232,956.0000002499232,956.0000002499232,11.091438286292234,-7.827539492675417,0.9750798989863996,2.6696303960807173,1.6506213816055642,1.2372920125150272e-20,1.3157049890892877e-14,0.32976728920919285,0.007722247637834734,0.09914436403047223,61.27037450939332,0.9507808094073271,7.126926451678088,2.7245509454134615,956.0000000000034,956.0000000000034,956.0000000000034,956.0000000000034,1.3157049894103281e-14,0.32976728920925724,0.007722247637868526,0.099144364030558
12,rubert,"lmer(value ~ Y + N1 + N2 + Pred + (1 | Sent), data=prepared_df_i)",1024,64,nloptwrap,NLOPT_XTOL_REACHED: Optimization stopped because xtol_rel or xtol_abs (above) was reached.,-6663.991608748128,3331.995804374064,0.012297608348092109,-0.005283877960096108,4.4015617754666956e-4,-2.1198241438469208e-4,-8.272728964584525e-4,9.866392980110062e-4,5.278015265077299e-4,5.278015265077299e-4,5.278015265077299e-4,5.278015265077299e-4,122.34204552423697,956.0000015570256,956.0000015570256,956.0000015570256,956.0000015570256,12.464137981208738,-10.011107764423494,0.833942600467684,-0.40163281790278693,-1.5673939064409597,1.5999042694739398e-23,1.6695484661333184e-22,0.40452164929113077,0.6880440386914568,0.11735356712368447,100.22227867090034,0.6954602608748033,0.16130892041653322,2.4567236579482516,956.0000000000705,956.0000000000034,956.0000000000034,956.0000000000034,1.6695484725113617e-22,0.4045216492914694,0.6880440386916027,0.11735356712422346
